Incident Number,Year,Responding Agency,Initial Call Type,Final Call Type
15000043,2015,EPD ,ASSAULT,ARREST
15000116,2015,EPD ,FIGHT,ARREST
15000117,2015,EPD ,FIGHT,ARREST
15000175,2015,EPD ,CRIMINAL TRESPASS,ARREST
15000185,2015,EPD ,DISORDERLY SUBJECT,ARREST
15000548,2015,EPD ,WARRANT SERVICE,ARREST
15000836,2015,EPD ,PERSON STOP,ARREST
15000912,2015,EPD ,DISPUTE,ARREST
15001159,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15001210,2015,EPD ,HIT AND RUN,ARREST
15001396,2015,EPD ,DISPUTE,ARREST
15001442,2015,EPD ,SHOPLIFT,ARREST
15001518,2015,EPD ,CRIMINAL TRESPASS,ARREST
15001529,2015,EPD ,CHECK WELFARE,ARREST
15001531,2015,EPD ,DISORDERLY SUBJECT,ARREST
15001549,2015,EPD ,CRIMINAL TRESPASS,ARREST
15001596,2015,EPD ,UNATTENDED CHILDREN,ARREST
15001645,2015,EPD ,FIGHT,ARREST
15001648,2015,EPD ,SHOPLIFT,ARREST
15001741,2015,EPD ,ALARM HOLD UP,ARREST
15001758,2015,EPD ,FOLLOW UP,ARREST
15001770,2015,EPD ,INFORMATION - POLICE,ARREST
15001836,2015,EPD ,INFORMATION - POLICE,ARREST
15002116,2015,EPD ,WARRANT SERVICE,ARREST
15002258,2015,EPD ,TRAFFIC STOP,ARREST
15002296,2015,EPD ,PERSON STOP,ARREST
15002316,2015,EPD ,ASSAULT,ARREST
15002402,2015,EPD ,DRUG INFO,ARREST
15002409,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15002423,2015,EPD ,TRAFFIC STOP,ARREST
15002431,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15002512,2015,EPD ,DUII,ARREST
15002612,2015,EPD ,DISPUTE,ARREST
15002702,2015,EPD ,WARRANT SERVICE,ARREST
15002718,2015,EPD ,RECOVERED STOLEN VEHICLE,ARREST
15002747,2015,EPD ,WARRANT SERVICE,ARREST
15002929,2015,EPD ,TRAFFIC STOP,ARREST
15003006,2015,EPD ,RECKLESS DRIVING,ARREST
15003040,2015,EPD ,VIOLATION OF CITY ORDINANCE,ARREST
15003075,2015,EPD ,PERSON STOP,ARREST
15003099,2015,EPD ,DISORDERLY SUBJECT,ARREST
15003112,2015,EPD ,WARRANT SERVICE,ARREST
15003140,2015,EPD ,PERSON STOP,ARREST
15003163,2015,EPD ,DRUG INFO,ARREST
15003311,2015,EPD ,WARRANT SERVICE,ARREST
15003587,2015,EPD ,WARRANT SERVICE,ARREST
15003603,2015,EPD ,THEFT,ARREST
15003621,2015,EPD ,WARRANT SERVICE,ARREST
15003729,2015,EPD ,TRAFFIC STOP,ARREST
15003750,2015,EPD ,DISORDERLY SUBJECT,ARREST
15003807,2015,EPD ,DUII,ARREST
15003878,2015,EPD ,WARRANT SERVICE,ARREST
15003917,2015,EPD ,WARRANT SERVICE,ARREST
15004063,2015,EPD ,WARRANT SERVICE,ARREST
15004116,2015,EPD ,WARRANT SERVICE,ARREST
15004168,2015,EPD ,PERSON STOP,ARREST
15004321,2015,EPD ,WARRANT SERVICE,ARREST
15004482,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15004624,2015,EPD ,DISORDERLY SUBJECT,ARREST
15004767,2015,EPD ,CRIMINAL TRESPASS,ARREST
